n,Global_Region,Country,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Rainy_Or_Dry,Notes on rainy/dry,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,"(for old papers, admin unit 1)"
Proietti,East Africa,Uganda,N,1,1,57,38,0.666666667,57,31,0.54385965,New,rainy,,0-15,0-5,0-5,,
,East Africa,Uganda,N,1,1,62,43,0.693548387,62,37,0.59677419,New,rainy,,0-15,May-15,05-Oct,,
,East Africa,Uganda,N,1,1,122,52,0.426229508,124,25,0.2016129,New,rainy,,15+,May-15,15+,,
Souza,South America,Brazil,Y,,,74,1,0.013513514,74,0.001351351,0.00001826,New,,,,,,,
,South America,Brazil,Y,,,134,0.000746269,5.57E-06,134,0.000746269,0.00000557,New,,,,,,,
,South America,Brazil,Y,,,62,0.001612903,2.60E-05,62,0.001612903,0.00002601,New,,,,,,,
Atkinson,Oceania,Solomon Islands,N,,,1843,1,0.000542594,8554,1,0.0001169,New,,,,,,,
Pegha Moukandja,West Africa,Gabon,N,1,1,277,161,0.581227437,370,93,0.25135135,New,,"variable, see if can disaggregate",Both,,Children&Adults,,
,West Africa,Gabon,N,1,1,195,109,0.558974359,267,72,0.26966292,New,,,Both,,Children&Adults,,
,West Africa,Gabon,N,1,1,161,115,0.714285714,218,57,0.26146789,New,,,Both,,Children&Adults,,
,West Africa,Gabon,N,1,1,219,87,0.397260274,255,36,0.14117647,New,,,Both,,Children&Adults,,
,West Africa,Gabon,N,1,1,173,134,0.774566474,232,59,0.25431034,New,,,Both,,Children&Adults,,
,West Africa,Gabon,N,1,1,114,67,0.587719298,145,31,0.2137931,New,,,Both,,Children&Adults,,
Atelu,West Africa,Ghana,N,1,1,29,4,0.137931034,29,3,0.10344828,New,,,0-15,0-5,0-5,,
,West Africa,Ghana,N,1,1,38,8,0.210526316,38,2,0.05263158,New,,,0-15,May-15,May-14,,
,West Africa,Ghana,N,1,1,37,8,0.216216216,37,1,0.02702703,New,,,15+,,15-24,,
,West Africa,Ghana,N,1,1,34,3,0.088235294,34,1,0.02941176,New,,,15+,,25-34,,
,West Africa,Ghana,N,1,1,31,4,0.129032258,31,2,0.06451613,New,,,15+,,35-44,,
,West Africa,Ghana,N,1,1,40,2,0.05,40,1,0.025,New,,,15+,,44+,,
Rovira-Vallbona,South America,Peru,N,,,7265,235,0.032346869,7265,5,0.00068823,New,,,Both,,Children&Adults,,
Kangoye,East Africa,Kenya,N,0,1,779,48,0.061617458,779,16,0.02053915,New,,,Both,,Children&Adults,,
,East Africa,Kenya,N,0,1,797,26,0.032622334,797,2,0.00250941,New,,,Both,,Children&Adults,,
Parr,East Africa,Malawi,N,1,1,792,79,0.099747475,792,45,0.05681818,New,,,Both,,Children&Adults,,
Zhao,Asia,Myanmar,Y,,,1005,1,0.000995025,1005,9.95E-05,0.0000001,New,,,Both,,Children&Adults,,
,Asia,Myanmar,Y,,,1005,11,0.010945274,1005,9.95E-05,0.0000001,New,,,Both,,Children&Adults,,
Tadesse,East Africa,Ethiopia,N,0,0,551,43,0.078039927,551,3,0.00544465,New,,,0-15,,0-15,Children recruited from school (IQR 11-14),
,East Africa,Ethiopia,N,0,0,294,38,0.129251701,335,3,0.00895522,New,,,0-15,,0-15,Children recruited from school (IQR 11-14),
Chourasia,Asia,India,N,,,437,80,0.183066362,437,47,0.10755149,New,dry,"(""low"" season)",Both,,Children&Adults,,
Manjurano ,East Africa,Tanzania,N,,,1116,384,0.344086022,1116,134,0.12007168,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,85,3,0.035294118,250,4,0.016,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,87,8,0.091954023,251,4,0.01593625,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,88,34,0.386363636,250,4,0.016,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,89,13,0.146067416,250,16,0.064,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,76,7,0.092105263,250,7,0.028,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,87,6,0.068965517,250,7,0.028,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,91,21,0.230769231,249,30,0.12048193,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,0,87,44,0.505747126,249,61,0.24497992,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,1,84,8,0.095238095,250,14,0.056,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,1,88,49,0.556818182,249,45,0.18072289,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,1,81,52,0.641975309,246,2,0.00813008,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,1,83,61,0.734939759,243,74,0.30452675,New,rainy,,Both,,Children&Adults,,
,East Africa,Tanzania,N,0,1,95,83,0.873684211,247,122,0.49392713,New,rainy,,Both,,Children&Adults,,
Rosas-Aguirre,South America,Peru,Y,,,2667,1,0.000374953,2667,3.75E-05,0.00000001,New,rainy,,Both,,Children&Adults,,
Tran,West Africa,Mali,N,1,1,547,320,0.585009141,547,159,0.29067642,New,,"averaged over all age groups, consider removing",,,,,
,West Africa,Mali,N,1,1,90,32,0.355555556,90,18,0.2,New,,,0-15,,04-Jun,,
,West Africa,Mali,N,1,1,299,189,0.632107023,299,105,0.35117057,New,,,0-15,May-15,07-Sep,,
,West Africa,Mali,N,1,1,111,72,0.648648649,111,29,0.26126126,New,,,0-15,May-15,Oct-14,,
,West Africa,Mali,N,1,1,47,27,0.574468085,47,7,0.14893617,New,,,15+,,15-25,,
Koepfli,Asia,Papua New Guinea,N,,,2083,385,0.184829573,2083,117,0.05616899,New,dry,,Both,,Children&Adults,,
Morris,East Africa,Zanzibar,Y,,,2423,80,0.033016921,2423,4.13E-05,0.00000002,New,,,,,,,
Kho,Asia,Indonesia,N,,,153,36,0.235294118,153,17,0.11111111,New,,,15+,,Adults only,,
Baum,Asia,Thailand,Y,,,1347,20,0.01484781,1347,7.42E-05,0.00000006,New,,,Both,,Children&Adults,,
Laban,East Africa,Zambia,N,0,1,638,18,0.028213166,676,1,0.00147929,New,dry,,,,,,
,East Africa,Zambia,N,0,1,871,16,0.01836969,871,2,0.00229621,New,dry,,,,,,
,East Africa,Zambia,Y,0,1,740,12,0.016216216,740,0.000135135,0.00000018,New,dry,,,,,,
,East Africa,Zambia,N,0,1,688,3,0.004360465,688,1,0.00145349,New,dry,,,,,,
Mwingira,East Africa,Tanzania,N,0,1,226,86,0.380530973,226,13,0.05752212,New,,,,,,,
,East Africa,Tanzania,N,0,1,226,60,0.265486726,226,13,0.05752212,New,,,,,,,
Wang,Asia,Myanmar,N,,,1552,42,0.027061856,1552,5,0.00322165,New,,,,,,,
,Asia,Myanmar,N,,,1552,15,0.009664948,1552,5,0.00322165,New,,,,,,,
,Asia,Myanmar,N,,,1552,43,0.027706186,1552,5,0.00322165,New,,,,,,,
Talundzic,East Africa,Tanzania,N,0,1,303,27,0.089108911,303,11,0.03630363,New,,,,,,,
Kaisar,Asia,Indonesia,N,,,1509,219,0.145129225,1509,37,0.02451955,New,,,,,,,
Farnert,East Africa,Tanzania,N,0,1,1295,899,0.694208494,1295,504,0.38918919,New,dry,(very start of the rainy season),,,,,
,East Africa,Tanzania,N,0,1,1295,760,0.586872587,1295,504,0.38918919,New,dry,,,,,,
,East Africa,Tanzania,N,0,1,1553,1006,0.647778493,1553,415,0.26722473,New,dry,,,,,,
,East Africa,Tanzania,N,0,1,1553,696,0.448164842,1553,415,0.26722473,New,dry,,,,,,
Thanh,Asia,Vietnam,N,,,327,42,0.128440367,1450,93,0.06413793,New,,"averaged over all villages, consider removing",Both,,Children&Adults,,
,Asia,Vietnam,N,,,75,4,0.053333333,350,10,0.02857143,New,,,Both,,Children&Adults,,
,Asia,Vietnam,N,,,55,6,0.109090909,256,8,0.03125,New,,,Both,,Children&Adults,,
,Asia,Vietnam,N,,,133,17,0.127819549,532,51,0.09586466,New,,,Both,,Children&Adults,,
,Asia,Vietnam,N,,,64,15,0.234375,312,24,0.07692308,New,,,Both,,Children&Adults,,
Oriero,West Africa,The Gambia,N,0,1,341,131,0.384164223,341,104,0.30498534,New,,,Both,,Children&Adults,,
Takem,West Africa,The Gambia,N,0,1,3214,278,0.086496577,424,31,0.07311321,New,,,0-15,,0-15,,
Geiger,West Africa,Burkina Faso,N,1,1,1561,1436,0.919923126,1561,1232,0.78923767,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,402,266,0.661691542,402,235,0.58457711,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,362,143,0.395027624,362,109,0.30110497,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,256,176,0.6875,256,143,0.55859375,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,267,105,0.393258427,267,79,0.29588015,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,219,161,0.735159817,219,108,0.49315068,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,261,90,0.344827586,261,85,0.3256705,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,877,602,0.686431015,877,486,0.55416192,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,890,337,0.378651685,890,273,0.30674157,New,,,Both,,Children&Adults,,
Elbadry,South America,Haiti,Y,,,108,3,0.027777778,108,0.000925926,0.00000857,New,,,15+,,Adults,,
,South America,Haiti,Y,,,122,6,0.049180328,122,0.000819672,0.00000672,New,,,15+,,Adults,,
,South America,Haiti,N,,,194,79,0.407216495,194,14,0.07216495,New,,,15+,,Adults,,
,South America,Haiti,N,,,39,10,0.256410256,39,1,0.02564103,New,,,15+,,Adults,,
,South America,Haiti,Y,,,63,2,0.031746032,63,0.001587302,0.0000252,New,,,15+,,Adults,,
,South America,Haiti,N,,,37,8,0.216216216,37,2,0.05405405,New,,,15+,,Adults,,
,South America,Haiti,N,,,563,108,0.191829485,563,17,0.03019538,New,,,15+,,Adults,,
Ganguly,Asia,India,N,,,224,27,0.120535714,224,25,0.11160714,New,dry,end of dry season,,,,,
,Asia,India,N,,,275,24,0.087272727,275,16,0.05818182,New,dry,,,,,,
,Asia,India,N,,,225,25,0.111111111,225,23,0.10222222,New,dry,,,,,,
,Asia,India,N,,,239,2,0.008368201,239,2,0.0083682,New,dry,,,,,,
,Asia,India,N,,,963,78,0.080996885,963,66,0.06853583,New,dry,,,,,,
Mara,West Africa,Ivory Coast,N,1,1,292,241,0.825342466,292,230,0.78767123,New,,,0-15,May-15,7-15 year old children,,
Koukouikila-Koussounda,West Africa,Republic of Congo,N,0,1,137,12,0.087591241,137,5,0.03649635,New,,,0-15,0-5,01-Mar,,
,West Africa,Republic of Congo,N,0,1,96,18,0.1875,96,11,0.11458333,New,,,0-15,,04-Jun,,
,West Africa,Republic of Congo,N,0,1,80,21,0.2625,80,11,0.1375,New,,,0-15,May-15,07-Sep,,
,West Africa,Republic of Congo,N,0,1,313,51,0.162939297,313,27,0.08626198,New,,total over all age groups consider removing,,,,,
Cook,Asia,Republic of Yemen,N,,,2181,430,0.197157267,2220,237,0.10675676,New,,,0-15,,DOUBLE CHECK,,
Waltmann,Oceania,Solomon Islands,N,,,3501,5,0.001428163,3501,4,0.00114253,New,rainy,,0-15,0-5,01-Mar,,
Rosas-Aguirre,South America,Peru,N,,,651,35,0.053763441,651,10,0.01536098,New,rainy,,0-15,,"0-7 (AND POSS ADULTS, DOUBLE CHECK)",,
Koepfli,Asia,Papua New Guinea,N,,,1019,283,0.277723258,1019,195,0.19136408,New,,,0-15,0-5,01-Mar,,
Proietti,East Africa,Uganda,N,1,1,240,130,0.541666667,249,105,0.42168675,New,,,0-15,0-5,0-5,,
,East Africa,Uganda,N,1,1,122,103,0.844262295,126,74,0.58730159,New,,,0-15,May-15,06-Oct,,
,East Africa,Uganda,N,1,1,128,48,0.375,134,15,0.1119403,New,,,15+,,20+,,
,East Africa,Uganda,N,1,1,490,281,0.573469388,509,194,0.38113949,New,,total over all age groups consider removing,,,,,
Ngane,West Africa,Angola,N,0,1,386,80,0.207253886,386,61,0.15803109,New,,,0-15,,0-15,,
Lo,East Africa,Kenya,N,0,1,201,130,0.646766169,201,117,0.58208955,New,,,0-15,,Mar-18,CHECK HOW MANY 18 YEAR OLDS ON AVERAGE- CAN I INCLUDE THEM WITH KIDS?,
,East Africa,Kenya,N,0,1,201,28,0.139303483,201,4,0.0199005,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,250,7,0.028,250,1,0.004,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,234,91,0.388888889,234,34,0.14529915,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,213,116,0.544600939,216,84,0.38888889,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,200,41,0.205,202,8,0.03960396,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,189,65,0.343915344,190,45,0.23684211,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,209,85,0.406698565,208,29,0.13942308,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,322,15,0.046583851,357,8,0.02240896,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,300,16,0.053333333,300,14,0.04666667,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,222,109,0.490990991,221,43,0.19457014,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,161,35,0.217391304,205,7,0.03414634,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,181,46,0.254143646,179,36,0.20111732,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,401,21,0.052369077,401,10,0.02493766,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,217,82,0.377880184,215,67,0.31162791,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,369,32,0.086720867,460,14,0.03043478,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,244,21,0.086065574,251,27,0.10756972,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,197,8,0.040609137,188,7,0.03723404,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,250,9,0.036,250,1,0.004,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,204,4,0.019607843,204,1,0.00490196,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,382,16,0.041884817,378,3,0.00793651,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,217,45,0.207373272,217,48,0.22119816,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,237,27,0.113924051,245,4,0.01632653,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,230,78,0.339130435,230,3,0.01304348,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,227,28,0.123348018,229,3,0.01310044,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,225,39,0.173333333,226,20,0.08849558,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,218,73,0.334862385,218,9,0.0412844,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,135,60,0.444444444,58,5,0.0862069,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,398,142,0.35678392,398,134,0.33668342,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,206,45,0.218446602,207,8,0.03864734,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,226,100,0.442477876,226,40,0.17699115,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,247,2,0.008097166,250,2,0.008,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,237,55,0.232067511,237,51,0.21518987,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,189,17,0.08994709,201,2,0.00995025,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,593,167,0.281618887,593,163,0.27487352,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,211,75,0.355450237,219,71,0.32420091,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,267,17,0.063670412,285,8,0.02807018,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,221,58,0.262443439,221,59,0.26696833,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,223,112,0.502242152,224,8,0.03571429,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,133,22,0.165413534,133,16,0.12030075,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,254,104,0.409448819,254,83,0.32677165,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,210,59,0.280952381,210,66,0.31428571,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,0,195,29,0.148717949,198,1,0.00505051,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,416,17,0.040865385,416,1,0.00240385,New,,,0-15,,Mar-18,,
,East Africa,Kenya,N,0,1,205,61,0.297560976,205,62,0.30243902,New,,,0-15,,Mar-18,,
Saenz,South America,Ecuador,Y,,,648,4,0.00617284,648,0,0,New,,,Both,,Children&Adults,,
Sumari,East Africa,Tanzania,N,0,1,200,115,0.575,200,16,0.08,New,rainy,"""high season""",0-15,May-15,Jun-14,,
Baum,Asia,Thailand,Y,,,219,8,0.03652968,219,0.000456621,0.00000209,New,dry,spanned end of dry and start of rainy,Both,,Children&Adults,,
Tadesse,East Africa,Ethiopia,Y,0,0,257,15,0.058365759,257,0.000389105,0.00000151,New,dry,,Both,,Children&Adults,,
,East Africa,Ethiopia,Y,0,0,298,14,0.046979866,298,0.00033557,0.00000113,New,,,Both,,Children&Adults,,
,East Africa,Ethiopia,Y,0,0,555,29,0.052252252,555,0.00018018,0.00000032,New,,,Both,,Children&Adults,,
Daou,West Africa,Mali,N,1,1,98,77,0.785714286,98,27,0.2755102,New,dry,beginning of high season,,,,,
,West Africa,Mali,N,1,1,94,41,0.436170213,99,20,0.2020202,New,rainy,midway through high season,,,,,
Amoah (15:388),West Africa,Ghana,N,1,1,170,85,0.5,170,49,0.28823529,New,,,0-15,May-15,05-Dec,unclear check,
,West Africa,Ghana,N,1,1,170,50,0.294117647,170,38,0.22352941,New,,,0-15,May-15,05-Dec,unclear check,
,West Africa,Ghana,N,1,1,170,65,0.382352941,170,44,0.25882353,New,,,0-15,May-15,05-Dec,unclear check,
,West Africa,Ghana,N,1,1,170,66,0.388235294,170,10,0.05882353,New,,,0-15,May-15,05-Dec,unclear check,
Amoah (15:101),West Africa,Ghana,N,0,1,291,205,0.704467354,291,120,0.41237113,New,,,0-15,,<17,unclear check,
,West Africa,Ghana,N,1,1,267,110,0.411985019,267,2,0.00749064,New,,,0-15,,<17,unclear check,
Dinko,West Africa,Ghana,N,1,1,270,207,0.766666667,270,165,0.61111111,New,rainy,end or rainy into beg dry,0-15,,May-17,,
Fancony,West Africa,Angola,N,0,1,3307,525,0.158754158,3307,525,0.15875416,New,rainy,end or rainy into beg dry,Both,,Children&Adults,,
Congpuong,Asia,Thailand,Y,,,475,4,0.008421053,475,0.000210526,0.00000044,New,,,Both,,Children&Adults,,
Lek,Asia,Cambodia,N,,,7707,340,0.044115739,7707,143,0.01855456,New,rainy,,Both,,Children&Adults,,
Cistero,East Africa,Mozambique,N,0,1,95,63,0.663157895,95,51,0.53684211,New,rainy,,Both,,Children&Adults,,
Tiedje,West Africa,Ghana,N,1,1,545,369,0.67706422,901,356,0.39511654,New,rainy,,Both,,Children&Adults,,
,West Africa,Ghana,N,1,1,547,444,0.811700183,999,452,0.45245245,New,rainy,,Both,,Children&Adults,,
,West Africa,Ghana,N,1,1,655,271,0.413740458,910,255,0.28021978,New,dry,,Both,,Children&Adults,,
,West Africa,Ghana,N,1,1,700,304,0.434285714,958,258,0.26931106,New,dry,,Both,,Children&Adults,,
Tadesse,East Africa,Ethiopia,N,0,0,490,45,0.091836735,490,16,0.03265306,New,rainy,,Both,,Children&Adults,,
Goncalves,West Africa,Burkina Faso,N,1,1,198,100,0.505050505,197,51,0.25888325,New,,,Both,,Children&Adults,,
,West Africa,Burkina Faso,N,1,1,198,166,0.838383838,199,104,0.52261307,New,,,Both,,Children&Adults,,
,East Africa,Kenya,N,0,1,139,52,0.374100719,139,9,0.0647482,New,,,Both,,Children&Adults,,
