n,Global_Region,Country,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Rainy_Or_Dry,Notes on rainy/dry,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,"(for old papers, admin unit 1)"
,East Africa,Kenya,N,0,1,274,105,0.383211679,274,47,0.17153285,New,,,Both,,Children&Adults,,
Walldorf,East Africa,Malawi,N,0,1,161,7,0.043478261,157,5,0.03184713,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,177,6,0.033898305,176,3,0.01704545,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,184,11,0.059782609,184,9,0.04891304,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,152,2,0.013157895,152,3,0.01973684,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,170,8,0.047058824,170,1,0.00588235,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,192,10,0.052083333,196,12,0.06122449,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,185,23,0.124324324,182,15,0.08241758,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,250,22,0.088,250,8,0.032,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,328,42,0.12804878,328,36,0.1097561,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,325,24,0.073846154,326,14,0.04294479,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,382,41,0.107329843,381,24,0.06299213,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,413,27,0.065375303,422,13,0.03080569,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,362,27,0.074585635,353,6,0.01699717,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,419,15,0.035799523,417,4,0.00959233,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,433,33,0.076212471,434,19,0.0437788,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,445,36,0.080898876,445,13,0.02921348,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,436,17,0.038990826,444,6,0.01351351,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,183,37,0.202185792,177,27,0.15254237,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,192,26,0.135416667,190,20,0.10526316,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,219,47,0.214611872,219,36,0.16438356,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,229,22,0.096069869,229,23,0.10043668,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,221,69,0.312217195,221,43,0.19457014,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,220,35,0.159090909,220,29,0.13181818,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,298,114,0.382550336,283,79,0.27915194,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,372,117,0.314516129,349,60,0.17191977,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,400,178,0.445,401,141,0.35162095,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,372,106,0.284946237,372,76,0.20430108,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,369,159,0.430894309,368,133,0.36141304,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,427,129,0.302107728,427,85,0.19906323,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,406,79,0.194581281,395,35,0.08860759,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,464,68,0.146551724,461,22,0.04772234,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,486,112,0.230452675,486,63,0.12962963,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,455,71,0.156043956,480,33,0.06875,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,453,133,0.293598234,451,70,0.15521064,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,478,76,0.158995816,479,25,0.05219207,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,163,11,0.067484663,159,14,0.08805031,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,189,9,0.047619048,188,9,0.04787234,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,187,19,0.101604278,189,16,0.08465608,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,169,7,0.041420118,169,2,0.01183432,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,161,17,0.105590062,161,11,0.06832298,New,rainy,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,167,11,0.065868263,167,6,0.03592814,New,dry,,0-15,0-5,0-5,,
,East Africa,Malawi,N,0,1,215,63,0.293023256,207,44,0.21256039,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,306,63,0.205882353,302,28,0.09271523,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,375,93,0.248,385,69,0.17922078,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,369,54,0.146341463,369,29,0.07859079,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,355,68,0.191549296,355,40,0.11267606,New,rainy,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,420,64,0.152380952,420,39,0.09285714,New,dry,,0-15,May-15,May-15,,
,East Africa,Malawi,N,0,1,398,44,0.110552764,388,30,0.07731959,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,472,27,0.05720339,468,10,0.02136752,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,465,43,0.092473118,479,21,0.04384134,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,455,15,0.032967033,454,4,0.00881057,New,dry,,0-15,,15+,,
,East Africa,Malawi,N,0,1,444,64,0.144144144,444,35,0.07882883,New,rainy,,0-15,,15+,,
,East Africa,Malawi,N,0,1,443,29,0.065462754,443,12,0.02708804,New,dry,,0-15,,15+,,
Vafa (2007),West Africa,Mali,N,1,1,212,85,0.400943396,212,34,0.16037736,Old,,,Both,,children & adults,,Mopti
Vafa (2007),West Africa,Mali,N,1,1,214,66,0.308411215,214,32,0.14953271,Old,,,Both,,children & adults,,Mopti
Roper (1996),East Africa,Sudan,N,0,0,79,10,0.126582278,79,2,0.02531646,Old,,,Both,,children & adults,,Gadaref
Roper (1996),East Africa,Sudan,N,0,0,79,15,0.189873418,79,4,0.05063291,Old,,,Both,,children & adults,,Gadaref
Roper (1996),East Africa,Sudan,N,0,0,79,19,0.240506329,79,8,0.10126582,Old,,,Both,,children & adults,,Gadaref
Roper (1996),East Africa,Sudan,Y,0,0,73,14,0.191780822,73,0.001369863,0.00001877,Old,,,Both,,children & adults,,Gadaref
John (2005),East Africa,Kenya,N,0,1,123,13,0.105691057,123,10,0.08130081,Old,,,Both,,children & adults,,Nyanza
John (2005),East Africa,Kenya,N,0,1,267,25,0.093632959,267,17,0.06367041,Old,,,Both,,children & adults,,Nyanza
John (2005),East Africa,Kenya,N,0,1,273,16,0.058608059,273,8,0.02930403,Old,,,Both,,children & adults,,Nyanza
John (2005),East Africa,Kenya,N,0,1,152,9,0.059210526,152,2,0.01315789,Old,,,Both,,children & adults,,Nyanza
John (2005),East Africa,Kenya,N,0,1,228,33,0.144736842,228,18,0.07894737,Old,,,Both,,children & adults,,Nyanza
Ofulla (2005),East Africa,Kenya,N,0,1,301,251,0.833887043,301,220,0.73089701,Old,,,Both,,children & adults,,Nyanza
Stich (2006),West Africa,Burkina Faso,N,1,1,201,185,0.92039801,201,162,0.80597015,Old,,,Both,,children & adults,,Boucle Du Mouhoun
Alves (2002),South America,Brazil,N,,,164,16,0.097560976,175,4,0.02285714,Old,,,Both,,children & adults,,
Alves (2002),South America,Brazil,N,,,142,25,0.176056338,142,2,0.01408451,Old,,,Both,,children & adults,,
Alves (2002),South America,Brazil,Y,,,125,2,0.016,125,0.0008,0.0000064,Old,,,Both,,children & adults,,
Alves (2002),South America,Brazil,N,,,128,58,0.453125,172,10,0.05813953,Old,,,Both,,children & adults,,
Muller (2001),West Africa,Sao Tome & Principe,N,,,491,321,0.653767821,491,194,0.39511202,Old,,,Both,,children & adults,,
Alves (2006),West Africa,Republic of Cabo Verde,Y,,,338,3,0.00887574,338,0.000295858,0.00000088,Old,,,Both,,children & adults,,
Alves (2006),West Africa,Republic of Cabo Verde,Y,,,261,10,0.038314176,261,0.000383142,0.00000147,Old,,,Both,,children & adults,,
Cortes (2004),Oceania,Papua New Guinea,N,,,628,330,0.525477707,628,175,0.27866242,Old,,,Both,,children & adults,,
Roshanravan (2003),South America,Peru,N,,,819,28,0.034188034,819,12,0.01465201,Old,,,Both,,children & adults,,
Zwetyenga  (1998),West Africa,Senegal,N,0,1,143,110,0.769230769,143,52,0.36363636,Old,,,Both,,children & adults,,Fatick
Toma (2001),Asia,Lao PDR,N,,,143,77,0.538461538,143,46,0.32167832,Old,,,Both,,children & adults,,
Toma (2001),Asia,Lao PDR,N,,,193,20,0.103626943,193,7,0.03626943,Old,,,Both,,children & adults,,
Mehlotra  (2002),Oceania,Papua New Guinea,N,,,340,179,0.526470588,1759,352,0.2001137,Old,,,Both,,children & adults,,
Mehlotra (2002),Oceania,Papua New Guinea,N,,,330,195,0.590909091,972,217,0.22325103,Old,,,Both,,children & adults,,
Owusu-Agyei (2002),West Africa,Ghana,N,1,1,308,252,0.818181818,308,217,0.70454545,Old,,,Both,,children & adults,,Upper East Region
Felger (1995),Oceania,Papua New Guinea,N,,,304,144,0.473684211,304,75,0.24671053,Old,,,Both,,children & adults,,
Snounou (1993),West Africa,Guinea Bissau,N,0,1,110,90,0.818181818,110,28,0.25454545,Old,,,Both,,children & adults,,Biombo/Bissau
Snounou (1993),West Africa,Guinea Bissau,N,0,1,79,69,0.873417722,79,38,0.48101266,Old,,,Both,,children & adults,,Biombo/Bissau
Ntoumi (1995),West Africa,Senegal,N,0,1,65,50,0.769230769,65,50,0.76923077,Old,,,Both,,children & adults,,Fatick
Marques (2005),East Africa,Mozambique,N,1,1,70,50,0.714285714,70,43,0.61428571,Old,,,Both,,children & adults,,Maputo
Marques (2005),East Africa,Mozambique,N,1,1,70,55,0.785714286,70,43,0.61428571,Old,,,Both,,children & adults,,Maputo
Marques (2005),East Africa,Mozambique,N,1,1,81,73,0.901234568,81,53,0.65432099,Old,,,Both,,children & adults,,Maputo
Marques (2005),East Africa,Mozambique,N,1,1,87,79,0.908045977,87,66,0.75862069,Old,,,Both,,children & adults,,Maputo
Khaminsou (2007),Asia,Lao PDR,N,,,130,18,0.138461538,130,12,0.09230769,Old,,,Both,,children & adults,,
Khaminsou (2007),Asia,Lao PDR,N,,,130,32,0.246153846,130,22,0.16923077,Old,,,Both,,children & adults,,
Nsobya (2004),East Africa,Uganda,N,0,1,316,114,0.360759494,316,55,0.17405063,Old,,,0-15,,children only,,Kampala
Touré (2006),West Africa,Gabon,N,1,1,278,58,0.208633094,278,20,0.07194245,Old,,,15+,,adults only,,Ogooue-lolo
Guerra-Neira (2006),West Africa,Equatorial Guinea,N,1,1,36,24,0.666666667,36,18,0.5,Old,,,0-15,,children only,,"Bioko Norte- weird collection of 0s in the MAP data, have done 1 and 1 but could be 0 and 1."
Guerra-Neira (2006),West Africa,Equatorial Guinea,N,1,1,35,22,0.628571429,35,14,0.4,Old,,,0-15,,children only,,"Bioko Norte- weird collection of 0s in the MAP data, have done 1 and 1 but could be 0 and 1."
Guerra-Neira (2006),West Africa,Equatorial Guinea,N,1,1,81,50,0.617283951,81,40,0.49382716,Old,,,0-15,,children only,,"Bioko Sur- weird collection of 0s in the MAP data, have done 1 and 1 but could be 0 and 1."
Silue (2006),West Africa,Cote d'Ivoire,N,1,1,424,356,0.839622642,424,232,0.54716981,Old,,,0-15,,children only,,Lagunes
Kobbe (2006),West Africa,Ghana,N,1,1,962,175,0.181912682,1069,158,0.14780168,Old,,,0-15,,children only,,Ashanti
Paganotti (2006),West Africa,Burkina Faso,N,,,92,89,0.967391304,92,76,0.82608696,Old,,,0-15,,children only,,Est
Paganotti (2006),West Africa,Burkina Faso,N,,,58,56,0.965517241,58,51,0.87931034,Old,,,0-15,,children only,,Est
Mayor (2003),East Africa,Mozambique,N,0,1,178,76,0.426966292,249,34,0.13654618,Old,,,15+,,adults only,,Maputo
Mayor (2003),East Africa,Mozambique,N,0,1,310,135,0.435483871,625,154,0.2464,Old,,,0-15,,children only,,Maputo
Vafa (2008),West Africa,Senegal,N,0,1,372,164,0.440860215,372,130,0.34946237,Old,,,0-15,,children only,,Fatick
Vafa (2008),West Africa,Senegal,N,0,1,372,190,0.510752688,372,130,0.34946237,Old,,,0-15,,children only,,Fatick
Wataya (1993),Oceania,Solomon Islands,N,,,98,8,0.081632653,98,8,0.08163265,Old,,,Both,,children & adults,,
Dal-Bianco (2007),West Africa,Gabon,N,1,1,470,244,0.519148936,493,57,0.11561866,Old,,,15+,,adults only,,Moyen-Ogooué
Peyerl-Hoffman (2001),West Africa,Uganda,N,0,1,406,225,0.554187192,406,140,0.34482759,Old,,,Both,,children & adults,,Tororo
Cerutti (2007),South America,Brazil,Y,,,1527,10,0.006548788,1777,5.63E-05,0.00000003,Old,,,Both,,children & adults,,
Dent (2007),West Africa,Kenya,N,0,1,201,141,0.701492537,201,117,0.58208955,Old,,,Both,,children & adults,,Nyanza
Mueller (2009),Oceania,Papua New Guinea,N,,,203,71,0.349753695,203,45,0.22167488,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,153,76,0.496732026,153,45,0.29411765,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,133,65,0.488721805,133,41,0.30827068,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,145,72,0.496551724,145,31,0.2137931,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,172,101,0.587209302,172,58,0.3372093,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,174,91,0.522988506,174,57,0.32758621,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,163,82,0.503067485,163,38,0.23312883,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,174,102,0.586206897,174,49,0.2816092,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,184,88,0.47826087,184,61,0.33152174,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,166,101,0.608433735,166,48,0.28915663,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,174,95,0.545977011,174,57,0.32758621,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,175,117,0.668571429,175,75,0.42857143,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,188,148,0.787234043,188,85,0.45212766,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,148,83,0.560810811,148,23,0.15540541,Old,,,Both,,children & adults,,
Mueller (2009),Oceania,Papua New Guinea,N,,,175,95,0.542857143,175,43,0.24571429,Old,,,Both,,children & adults,,
Andrade (2009),South America,Brazil,N,,,233,8,0.034334764,275,4,0.01454545,Old,,,Both,,children & adults,,
Andrade (2009),South America,Brazil,N,,,277,20,0.072202166,286,2,0.00699301,Old,,,Both,,children & adults,,
Andrade (2009),South America,Brazil,N,,,47,5,0.106382979,47,1,0.0212766,Old,,,Both,,children & adults,,
Andrade (2009),South America,Brazil,N,,,320,11,0.034375,321,4,0.01246106,Old,,,Both,,children & adults,,
Andrade (2009),South America,Brazil,Y,,,165,1,0.006060606,166,0.00060241,0.00000363,Old,,,Both,,children & adults,,
Rosanas-Urgell (2010),Oceania,Papua New Guinea,N,,,452,198,0.438053097,452,115,0.25442478,Old,,,0-15,,children only,,
Satoguina (2009),West Africa,Gambia,N,0,1,841,219,0.260404281,934,97,0.10385439,Old,,,Both,,children & adults,,Upper River
Satoguina (2009),West Africa,Gambia,N,0,1,689,185,0.26850508,729,82,0.11248285,Old,,,Both,,children & adults,,North Bank Division
Satoguina (2009),West Africa,Guinea Bissau,N,0,1,818,194,0.237163814,834,33,0.03956835,Old,,,Both,,children & adults,,Cacheu
Lin (2010),Oceania,Papua New Guinea,N,,,264,131,0.496212121,264,86,0.32575758,Old,,,0-15,,children only,,
Steenkeste (2010),Asia,Cambodia,N,,,204,136,0.666666667,204,75,0.36764706,Old,,,Both,,children & adults,,
Steenkeste (2010),Asia,Cambodia,N,,,205,115,0.56097561,205,68,0.33170732,Old,,,Both,,children & adults,,
Steenkeste (2010),Asia,Cambodia,N,,,209,126,0.602870813,209,48,0.22966507,Old,,,Both,,children & adults,,
Steenkeste (2010),Asia,Cambodia,N,,,202,119,0.589108911,202,53,0.26237624,Old,,,Both,,children & adults,,
Steenkeste (2010),Asia,Cambodia,N,,,141,55,0.390070922,141,20,0.14184397,Old,,,Both,,children & adults,,
Steenkeste (2010),Asia,Cambodia,N,,,143,88,0.615384615,143,49,0.34265734,Old,,,Both,,children & adults,,
Steenkeste (2010),Asia,Cambodia,N,,,118,80,0.677966102,118,31,0.26271186,Old,,,Both,,children & adults,,
Steenkeste (2010),Asia,Cambodia,N,,,134,87,0.649253731,134,38,0.28358209,Old,,,Both,,children & adults,,
Katsuragawa (2010),South America,Brazil,N,,,205,4,0.019512195,205,1,0.00487805,Old,,,Both,,children & adults,,
da Silva (2010),South America,Brazil,N,,,386,35,0.090673575,388,6,0.01546392,Old,,,Both,,children & adults,,
da Silva (2010),South America,Brazil,N,,,379,33,0.08707124,378,6,0.01587302,Old,,,Both,,children & adults,,
da Silva (2010),South America,Brazil,Y,,,328,22,0.067073171,329,0.000303951,0.00000092,Old,,,Both,,children & adults,,
da Silva (2010),South America,Brazil,N,,,334,8,0.023952096,351,1,0.002849,Old,,,Both,,children & adults,,
Marfurt (2010),Oceania,Papua New Guinea,N,,,263,102,0.3878327,258,34,0.13178295,Old,,,Both,,children & adults,,
Marfurt (2010),Oceania,Papua New Guinea,N,,,347,71,0.204610951,346,64,0.1849711,Old,,,Both,,children & adults,,
Marfurt (2010),Oceania,Papua New Guinea,N,,,359,131,0.364902507,358,82,0.22905028,Old,,,Both,,children & adults,,
Marfurt (2010),Oceania,Papua New Guinea,N,,,317,129,0.406940063,314,55,0.17515924,Old,,,Both,,children & adults,,
Marfurt (2010),Oceania,Papua New Guinea,N,,,366,147,0.401639344,356,96,0.26966292,Old,,,Both,,children & adults,,
Marfurt (2010),Oceania,Papua New Guinea,N,,,359,115,0.320334262,358,82,0.22905028,Old,,,Both,,children & adults,,
Pacific Malaria Initiative Survey Group (2010),Oceania,Vanuatu,Y,,,413,2,0.004842615,413,0.000242131,0.00000059,Old,,,0-15,,children only,,
Liljander (2011),West Africa,Kenya,N,0,1,337,263,0.78041543,337,243,0.72106825,Old,,,0-15,,children only,,Coast
Liljander (2011),West Africa,Kenya,N,0,1,360,212,0.588888889,360,174,0.48333333,Old,,,0-15,,children only,,Coast
Gahutu (2011),East Africa,Rwanda,N,0,0,545,92,0.168807339,545,61,0.11192661,Old,,,0-15,,children only,,South/Amajyepfo
Steenkeste (2009),Asia,Cambodia,N,,,102,73,0.715686275,102,59,0.57843137,Old,,,Both,,children & adults,,
Steenkeste (2009),Asia,Cambodia,N,,,235,142,0.604255319,235,77,0.32765957,Old,,,Both,,children & adults,,
